system:index,Admin_unit,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Country,Data_type,Depth_to_bedrock_m,ECU,Habitat_type,Horizon_bin_cm,Horizon_mid_depth_cm,Human_modification,L_depth_m,Lat_Long,M2Tide,Method,N_perc,Notes,OC_from_SOM_our_eq,OC_obs_est,OC_perc,OC_perc_combined,OC_perc_final,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,PETwarm,Plot,SLR_zone,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Site,Site_name,Soil_type,Source,TSM,Time_replicate,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,copernicus_elevation,copernicus_slope,maxTemp,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens,.geo
0000000000000000003e,NA,0.554590899,0.554590899,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.5357511639595032,0.3,51.639013_0.663894,165.1102294921875,EA,0.383,NA,3.19832314040721,Observed,3.63,3.63,3.63,NA,NA,NA,Burden et al 2018,40.0,110.0,16.4,1.0,7.696713682,NA,7.696713682,NA,NA,North Fambridge Natural,AB 16.4,NA,Burden et al 2018,14.547154426574707,NA,NA,0.0,2011,NA,1,direct from dataset,2.0108492374420166,2.6736912727355957,216.0,32.0,6.0,NA,0.21268391609191895,0.03942599892616272,0.08031487464904785,"{""type"":""Point"",""coordinates"":[0.6638932603422897,51.6390121503227]}"
0000000000000000003f,NA,0.396175008,0.396175008,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6132933497428894,0.3,51.719498_0.709383,162.01107788085938,EA,0.574,NA,4.66708041721815,Observed,6.1241,6.1241,6.1241,NA,NA,NA,Burden et al 2018,39.0,109.0,12.1,1.0,11.16756699,NA,11.16756699,NA,NA,Northey Natural,AB 12.1,NA,Burden et al 2018,5.376429080963135,NA,NA,0.0,2011,NA,1,direct from dataset,1.6336852312088013,0.29534149169921875,214.0,31.0,5.0,NA,0.1652371734380722,0.03837684914469719,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000040,NA,0.378984492,0.378984492,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6132933497428894,0.3,51.719498_0.709383,162.01107788085938,EA,0.535,NA,4.33548510199242,Observed,5.2312,5.2312,5.2312,NA,NA,NA,Burden et al 2018,39.0,109.0,12.2,1.0,10.38735379,NA,10.38735379,NA,NA,Northey Natural,AB 12.2,NA,Burden et al 2018,5.376429080963135,NA,NA,0.0,2011,NA,1,direct from dataset,1.6336852312088013,0.29534149169921875,214.0,31.0,5.0,NA,0.1652371734380722,0.03837684914469719,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000041,NA,0.309731696,0.309731696,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6132933497428894,0.3,51.719498_0.709383,162.01107788085938,EA,0.802,NA,7.17282046174068,Observed,9.516,9.516,9.516,NA,NA,NA,Burden et al 2018,39.0,109.0,12.3,1.0,17.0013557,NA,17.0013557,NA,NA,Northey Natural,AB 12.3,NA,Burden et al 2018,5.376429080963135,NA,NA,0.0,2011,NA,1,direct from dataset,1.6336852312088013,0.29534149169921875,214.0,31.0,5.0,NA,0.1652371734380722,0.03837684914469719,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000042,NA,0.262761496,0.262761496,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6132933497428894,0.3,51.719498_0.709383,162.01107788085938,EA,0.748,NA,6.68947936238592,Observed,8.9677,8.9677,8.9677,NA,NA,NA,Burden et al 2018,39.0,109.0,12.4,1.0,15.88443018,NA,15.88443018,NA,NA,Northey Natural,AB 12.4,NA,Burden et al 2018,5.376429080963135,NA,NA,0.0,2011,NA,1,direct from dataset,1.6336852312088013,0.29534149169921875,214.0,31.0,5.0,NA,0.1652371734380722,0.03837684914469719,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000043,NA,0.362812567,0.362812567,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6233075857162476,0.3,51.718446_0.859936,155.67633056640625,EA,0.597,NA,5.1582587166601,Observed,6.6781,6.6781,6.6781,NA,NA,NA,Burden et al 2018,39.0,108.0,11.1,1.0,12.3196877,NA,12.3196877,NA,NA,Orplands Natural,AB 11.1,NA,Burden et al 2018,11.028454780578613,NA,NA,0.0,2011,NA,1,direct from dataset,0.8459406495094299,2.422266960144043,215.0,31.0,7.0,NA,0.03893036022782326,0.07683543115854263,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000044,NA,0.478448457,0.478448457,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6233075857162476,0.3,51.718446_0.859936,155.67633056640625,EA,0.536,NA,4.28076705713822,Observed,5.4692,5.4692,5.4692,NA,NA,NA,Burden et al 2018,39.0,108.0,11.2,1.0,10.25841896,NA,10.25841896,NA,NA,Orplands Natural,AB 11.2,NA,Burden et al 2018,11.028454780578613,NA,NA,0.0,2011,NA,1,direct from dataset,0.8459406495094299,2.422266960144043,215.0,31.0,7.0,NA,0.03893036022782326,0.07683543115854263,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000045,NA,0.633927937,0.633927937,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6233075857162476,0.3,51.718446_0.859936,155.67633056640625,EA,0.385,NA,3.01494835835608,Observed,4.0771,4.0771,4.0771,NA,NA,NA,Burden et al 2018,39.0,108.0,11.3,1.0,7.260627629,NA,7.260627629,NA,NA,Orplands Natural,AB 11.3,NA,Burden et al 2018,11.028454780578613,NA,NA,0.0,2011,NA,1,direct from dataset,0.8459406495094299,2.422266960144043,215.0,31.0,7.0,NA,0.03893036022782326,0.07683543115854263,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000046,NA,0.660311428,0.660311428,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6233075857162476,0.3,51.718446_0.859936,155.67633056640625,EA,0.373,NA,2.81585066582507,Observed,3.2699,3.2699,3.2699,NA,NA,NA,Burden et al 2018,39.0,108.0,11.4,1.0,6.78644987,NA,6.78644987,NA,NA,Orplands Natural,AB 11.4,NA,Burden et al 2018,11.028454780578613,NA,NA,0.0,2011,NA,1,direct from dataset,0.8459406495094299,2.422266960144043,215.0,31.0,7.0,NA,0.03893036022782326,0.07683543115854263,0.07580655068159103,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000047,NA,0.289320058,0.289320058,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6303137540817261,0.3,51.769154_0.836512,154.4778289794922,EA,0.751,NA,7.84881128768336,Observed,10.026,10.026,10.026,NA,NA,NA,Burden et al 2018,39.0,108.0,10.1,1.0,18.55690542,NA,18.55690542,NA,NA,Tollesbury Natural,AB 10.1,NA,Burden et al 2018,8.994688034057617,NA,NA,0.0,2011,NA,1,direct from dataset,1.5582149028778076,1.646141529083252,214.0,31.0,5.0,NA,0.20269551873207092,0.042733609676361084,0.07580646127462387,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
00000000000000000048,NA,0.31245148,0.31245148,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6303137540817261,0.3,51.769154_0.836512,154.4778289794922,EA,0.776,NA,7.39314003681683,Observed,10.51,10.51,10.51,NA,NA,NA,Burden et al 2018,39.0,108.0,10.2,1.0,17.5091779,NA,17.5091779,NA,NA,Tollesbury Natural,AB 10.2,NA,Burden et al 2018,8.994688034057617,NA,NA,0.0,2011,NA,1,direct from dataset,1.5582149028778076,1.646141529083252,214.0,31.0,5.0,NA,0.20269551873207092,0.042733609676361084,0.07580646127462387,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
00000000000000000049,NA,0.280551497,0.280551497,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6303137540817261,0.3,51.769154_0.836512,154.4778289794922,EA,0.808,NA,8.26980055970605,Observed,11.371,11.371,11.371,NA,NA,NA,Burden et al 2018,39.0,108.0,10.3,1.0,19.52183957,NA,19.52183957,NA,NA,Tollesbury Natural,AB 10.3,NA,Burden et al 2018,8.994688034057617,NA,NA,0.0,2011,NA,1,direct from dataset,1.5582149028778076,1.646141529083252,214.0,31.0,5.0,NA,0.20269551873207092,0.042733609676361084,0.07580646127462387,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
0000000000000000004a,NA,0.248971593,0.248971593,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.6303137540817261,0.3,51.769154_0.836512,154.4778289794922,EA,0.962,NA,10.1762425974649,Observed,13.379,13.379,13.379,NA,NA,NA,Burden et al 2018,39.0,108.0,10.4,1.0,23.85558928,NA,23.85558928,NA,NA,Tollesbury Natural,AB 10.4,NA,Burden et al 2018,8.994688034057617,NA,NA,0.0,2011,NA,1,direct from dataset,1.5582149028778076,1.646141529083252,214.0,31.0,5.0,NA,0.20269551873207092,0.042733609676361084,0.07580646127462387,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
0000000000000000004b,NA,0.654973543,0.654973543,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.7049381136894226,0.3,51.621201_0.81135,162.7857666015625,EA,0.357,NA,2.18446103408679,Observed,3.6054,3.6054,3.6054,NA,NA,NA,Burden et al 2018,39.0,108.0,15.1,1.0,5.277846997,NA,5.277846997,NA,NA,Wallasea Island Natural,AB 15.1,NA,Burden et al 2018,11.850104331970215,NA,NA,0.0,2011,NA,1,direct from dataset,1.0525151491165161,2.3648691177368164,216.0,31.0,8.0,NA,0.167634978890419,0.03432651236653328,0.1213310956954956,"{""type"":""Point"",""coordinates"":[0.8113512730786914,51.621202500715235]}"
0000000000000000004c,NA,0.568728291,0.568728291,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.7049381136894226,0.3,51.621201_0.81135,162.7857666015625,EA,0.401,NA,3.086050495168,Observed,4.5729,4.5729,4.5729,NA,NA,NA,Burden et al 2018,39.0,108.0,15.2,1.0,7.4297899,NA,7.4297899,NA,NA,Wallasea Island Natural,AB 15.2,NA,Burden et al 2018,11.850104331970215,NA,NA,0.0,2011,NA,1,direct from dataset,1.0525151491165161,2.3648691177368164,216.0,31.0,8.0,NA,0.167634978890419,0.03432651236653328,0.1213310956954956,"{""type"":""Point"",""coordinates"":[0.8113512730786914,51.621202500715235]}"
0000000000000000004d,NA,0.602325928,0.602325928,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.7049381136894226,0.3,51.621201_0.81135,162.7857666015625,EA,0.384,NA,2.80768811954575,Observed,4.0707,4.0707,4.0707,NA,NA,NA,Burden et al 2018,39.0,108.0,15.3,1.0,6.766994058,NA,6.766994058,NA,NA,Wallasea Island Natural,AB 15.3,NA,Burden et al 2018,11.850104331970215,NA,NA,0.0,2011,NA,1,direct from dataset,1.0525151491165161,2.3648691177368164,216.0,31.0,8.0,NA,0.167634978890419,0.03432651236653328,0.1213310956954956,"{""type"":""Point"",""coordinates"":[0.8113512730786914,51.621202500715235]}"
0000000000000000004e,NA,0.556678483,0.556678483,NA,NA,NA,NA,NA,UK,Core-level,NA,6.0,Salt marsh,0-15cm,15,0.7049381136894226,0.3,51.621201_0.81135,162.7857666015625,EA,0.377,NA,3.03994571750678,Observed,4.1491,4.1491,4.1491,NA,NA,NA,Burden et al 2018,39.0,108.0,15.4,1.0,7.320110561,NA,7.320110561,NA,NA,Wallasea Island Natural,AB 15.4,NA,Burden et al 2018,11.850104331970215,NA,NA,0.0,2011,NA,1,direct from dataset,1.0525151491165161,2.3648691177368164,216.0,31.0,8.0,NA,0.167634978890419,0.03432651236653328,0.1213310956954956,"{""type"":""Point"",""coordinates"":[0.8113512730786914,51.621202500715235]}"
00000000000000000c30,NA,NA,NA,NA,NA,NA,NA,SQM1,Mexico,Core-level,NA,6.0,Salt marsh,0-15cm,0.5,0.0676799789071083,0.01,30.45444_-116.0242,47.81957244873047,EA,1.08,NA,11.4218140519333,Observed,9.099574,9.099574,9.099574,NA,NA,NA,Cuellar-Martinez et al 2019,171.0,174.0,NA,3.0,26.65603,NA,26.65603,NA,NA,Ensenada,TCM SQM1,NA,Cuellar-Martinez et al 2019,2.686246871948242,NA,NA,0.0,2018,NA,1,direct from dataset,0.8023707866668701,0.9289159774780273,324.0,0.0,66.0,NA,0.10620538890361786,0.04210423305630684,0.6246255040168762,"{""type"":""Point"",""coordinates"":[-116.02419967518148,30.4544384013467]}"
00000000000000000c31,NA,NA,NA,NA,NA,NA,NA,SQM2,Mexico,Core-level,NA,6.0,Salt marsh,0-15cm,0.5,0.12071581184864044,0.01,30.43611_-116.0161,47.88630676269531,EA,1.85,NA,19.1107761463141,Observed,16.61622,16.61622,16.61622,NA,NA,NA,Cuellar-Martinez et al 2019,171.0,175.0,NA,3.0,43.43874,NA,43.43874,NA,NA,Ensenada,TCM SQM2,NA,Cuellar-Martinez et al 2019,2.9364194869995117,NA,NA,0.0,2018,NA,1,direct from dataset,0.9250171184539795,0.33180853724479675,324.0,0.0,66.0,NA,0.14602181315422058,0.05373784527182579,0.624625563621521,"{""type"":""Point"",""coordinates"":[-116.01609748856737,30.436111496017045]}"
00000000000000000c32,NA,NA,NA,NA,NA,NA,NA,LTME1,Mexico,Core-level,NA,4.0,Salt marsh,0-15cm,0.5,0.42411279678344727,0.01,18.79306_-91.46389,10.56532096862793,EA,0.86,NA,9.47687674990681,Observed,6.168321,6.168321,6.168321,NA,NA,NA,Cuellar-Martinez et al 2020,148.0,171.0,NA,4.0,22.27254,NA,22.27254,NA,NA,Laguna de Terminos,TCM LTME1,NA,Cuellar-Martinez et al 2020,17.14141845703125,NA,NA,0.0,2018,NA,1,direct from dataset,0.043333932757377625,1.605411410331726,346.0,13.0,180.0,NA,0.12005891650915146,0.05529860779643059,0.49379873275756836,"{""type"":""Point"",""coordinates"":[-91.46389022830058,18.79305975378979]}"
00000000000000000c33,NA,NA,NA,NA,NA,NA,NA,LTME2,Mexico,Core-level,NA,4.0,Salt marsh,0-15cm,0.5,0.23851284384727478,0.01,18.80611_-91.4575,9.892067909240723,EA,0.75,NA,10.0639674461438,Observed,7.881045,7.881045,7.881045,NA,NA,NA,Cuellar-Martinez et al 2020,148.0,171.0,NA,4.0,23.60197,NA,23.60197,NA,NA,Laguna de Terminos,TCM LTME2,NA,Cuellar-Martinez et al 2020,16.386430740356445,NA,NA,0.0,2018,NA,1,direct from dataset,2.8950345516204834,3.2432050704956055,346.0,13.0,180.0,NA,0.3136872947216034,0.02727382630109787,0.49379879236221313,"{""type"":""Point"",""coordinates"":[-91.45749587738995,18.806111542573227]}"
00000000000000000def,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6333907842636108,0.1,53.3696_-6.158401,136.22161865234375,EA,0.102,NA,9.3568182323204,Observed,4.27,4.27,4.27,NA,NA,NA,Grey et al 2021,38.0,98.0,27,1.0,22,NA,22,NA,NA,Bull Island,AG Bull Island 27,Very wet soil,Grey et al 2021,3.6718640327453613,NA,NA,0.0,2016,NA,1,estimated from GE,1.049259901046753,0.3334409296512604,194.0,51.0,26.0,NA,0.2478862851858139,0.09122501313686371,0.09354329109191895,"{""type"":""Point"",""coordinates"":[-6.158402037499354,53.369598187367146]}"
00000000000000000df0,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6191394925117493,0.1,53.36289_-6.168861,135.62521362304688,EA,0.817,NA,25.1124915472846,Observed,10.52,10.52,10.52,NA,NA,NA,Grey et al 2021,38.0,98.0,29,1.0,55.99,NA,55.99,NA,NA,Bull Island,AG Bull Island 29,Heavy mud,Grey et al 2021,3.4660186767578125,NA,NA,0.0,2016,NA,1,estimated from GE,1.7375900745391846,0.6491649746894836,194.0,51.0,26.0,NA,0.3295680582523346,0.10941388458013535,0.07513272017240524,"{""type"":""Point"",""coordinates"":[-6.168863088570739,53.36288724028172]}"
