system:index,Admin_unit,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Country,DOI,Data_type,Depth_to_bedrock_m,ECU,Habitat_type,Horizon_bin_cm,Horizon_mid_depth_cm,Human_modification,L_depth_m,Lat_Long,M2Tide,Method,N_perc,Notes,OC_from_SOM_our_eq,OC_obs_est,OC_perc,OC_perc_combined,OC_perc_final,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,PETwarm,Plot,SLR_zone,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Site,Site_name,Soil_type,Source,TSM,Time_replicate,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,copernicus_elevation,copernicus_slope,maxPrecip,maxTemp,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens,.geo
000000000000000008b1,NA,NA,NA,NA,NA,NA,NA,LTME1,Mexico,https://doi.org/10.1016/j.gloplacha.2020.103215,Core-level,NA,4.0,Salt marsh,0-15cm,0.5,0.45478102564811707,0.01,18.79306_-91.46389,8.788220405578613,EA,0.86,NA,9.47687670757346,Observed,6.168321,6.168321,6.168321,NA,NA,NA,Cuellar-Martinez et al 2020,148.0,171.0,NA,4.0,22.27254,NA,22.27254,NA,NA,Laguna de Terminos,TCM LTME1,NA,Cuellar-Martinez et al 2020,14.20777702331543,NA,NA,0.0,2018,NA,1,direct from dataset,0.043333932757377625,1.605411410331726,244.0,346.0,13.0,180.0,NA,0.12005891650915146,0.05529860779643059,0.49379873275756836,"{""type"":""Point"",""coordinates"":[-91.46389022830058,18.79305975378979]}"
000000000000000008b2,NA,NA,NA,NA,NA,NA,NA,LTME2,Mexico,https://doi.org/10.1016/j.gloplacha.2020.103215,Core-level,NA,4.0,Salt marsh,0-15cm,0.5,0.2551099359989166,0.01,18.80611_-91.4575,8.788220405578613,EA,0.75,NA,10.0639674028996,Observed,7.881045,7.881045,7.881045,NA,NA,NA,Cuellar-Martinez et al 2020,148.0,171.0,NA,4.0,23.60197,NA,23.60197,NA,NA,Laguna de Terminos,TCM LTME2,NA,Cuellar-Martinez et al 2020,19.93953514099121,NA,NA,0.0,2018,NA,1,direct from dataset,2.8950345516204834,3.2432050704956055,244.0,346.0,13.0,180.0,NA,0.3136872947216034,0.02727382630109787,0.4937988817691803,"{""type"":""Point"",""coordinates"":[-91.45749587738995,18.806111542573227]}"
000000000000000009e3,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6791502833366394,0.1,53.3696_-6.158401,136.72210693359375,EA,0.102,NA,9.35681819019627,Observed,4.27,4.27,4.27,NA,NA,NA,Grey et al 2021,38.0,98.0,27,1.0,22,NA,22,NA,NA,Bull Island,AG Bull Island 27,Very wet soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.049259901046753,0.3334409296512604,81.0,194.0,51.0,25.0,NA,0.2478862851858139,0.09122501313686371,0.09603255242109299,"{""type"":""Point"",""coordinates"":[-6.158402037499354,53.369598187367146]}"
000000000000000009e4,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6450870633125305,0.1,53.36289_-6.168861,135.0540008544922,EA,0.817,NA,25.1124915380906,Observed,10.52,10.52,10.52,NA,NA,NA,Grey et al 2021,38.0,98.0,29,1.0,55.99,NA,55.99,NA,NA,Bull Island,AG Bull Island 29,Heavy mud,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.7375900745391846,0.6491649746894836,81.0,194.0,51.0,26.0,NA,0.3295680582523346,0.10941388458013535,0.07465531677007675,"{""type"":""Point"",""coordinates"":[-6.168863088570739,53.36288724028172]}"
000000000000000009e5,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.5741447806358337,0.1,53.3739_-6.148626,136.72210693359375,EA,0.355,NA,2.06017165117326,Observed,4.1717,4.1717,4.1717,NA,NA,NA,Grey et al 2021,38.0,98.0,30,1.0,4.98,NA,4.98,NA,NA,Bull Island,AG Bull Island 30,Soil,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.2514675855636597,0.3520691990852356,81.0,193.0,51.0,26.0,NA,0.1774054318666458,0.07422871142625809,0.09664970636367798,"{""type"":""Point"",""coordinates"":[-6.148627687990201,53.37390121988373]}"
000000000000000009e6,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6791502833366394,0.1,53.3677_-6.159631,136.72210693359375,EA,0.153,NA,2.93487073092884,Observed,1.8433,1.8433,1.8433,NA,NA,NA,Grey et al 2021,38.0,98.0,32,1.0,7.07,NA,7.07,NA,NA,Bull Island,AG Bull Island 32,Soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.2779595851898193,0.6561728119850159,81.0,194.0,51.0,26.0,NA,0.25357577204704285,0.09688009321689606,0.09603255242109299,"{""type"":""Point"",""coordinates"":[-6.159632749390106,53.36769861031838]}"
000000000000000009e7,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6450870633125305,0.1,53.36226_-6.169694,135.0540008544922,EA,1.096,NA,21.3336096196542,Observed,10.6,10.6,10.6,NA,NA,NA,Grey et al 2021,38.0,98.0,33,1.0,48.14,NA,48.14,NA,NA,Bull Island,AG Bull Island 33,Soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,2.218114137649536,1.3838974237442017,81.0,194.0,51.0,26.0,NA,0.3227800130844116,0.10335057228803635,0.07465531677007675,"{""type"":""Point"",""coordinates"":[-6.1696924813666785,53.362258507033175]}"
000000000000000009e8,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.8488666415214539,0.1,53.3755_-6.149047,136.72210693359375,EA,0.12,NA,2.6915332990103,Observed,0.1533,0.1533,0.1533,NA,NA,NA,Grey et al 2021,38.0,98.0,34,1.0,6.49,NA,6.49,NA,NA,Bull Island,AG Bull Island 34,Mud flat mud with algae,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,0.8047201633453369,0.4015829265117645,81.0,194.0,51.0,26.0,NA,0.138062983751297,0.08890675753355026,-0.01302785612642765,"{""type"":""Point"",""coordinates"":[-6.149046843489225,53.37549757806086]}"
000000000000000009e9,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.7570621371269226,0.1,53.377_-6.140112,136.72210693359375,EA,0.757,NA,14.1237850574105,Observed,6.6693,6.6693,6.6693,NA,NA,NA,Grey et al 2021,38.0,98.0,35,1.0,32.65,NA,32.65,NA,NA,Bull Island,AG Bull Island 35,Soil,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.129382610321045,0.3476519286632538,82.0,193.0,51.0,26.0,NA,0.2683914601802826,0.10221701115369797,0.2661743760108948,"{""type"":""Point"",""coordinates"":[-6.14011080497812,53.37700029511587]}"
000000000000000009ea,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6791502833366394,0.1,53.36756_-6.162673,136.72210693359375,EA,1.013,NA,10.0100035741436,Observed,9.31,9.31,9.31,NA,NA,NA,Grey et al 2021,38.0,98.0,36,1.0,23.48,NA,23.48,NA,NA,Bull Island,AG Bull Island 36,Heavy muddy soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.1506599187850952,0.9588204622268677,81.0,194.0,51.0,26.0,NA,0.2860357165336609,0.11135794967412949,0.09603255242109299,"{""type"":""Point"",""coordinates"":[-6.1626738563085555,53.36756037818572]}"
000000000000000009eb,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6450870633125305,0.1,53.36141_-6.172024,135.0540008544922,EA,1.308,NA,5.81347242123835,Observed,3.8867,3.8867,3.8867,NA,NA,NA,Grey et al 2021,38.0,98.0,37,1.0,13.85,NA,13.85,NA,NA,Bull Island,AG Bull Island 37,Soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.2928996086120605,0.9812482595443726,81.0,194.0,51.0,26.0,NA,0.2923825979232788,0.08449050784111023,0.07465531677007675,"{""type"":""Point"",""coordinates"":[-6.172024591217632,53.36140681873198]}"
000000000000000009ec,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6290320754051208,0.1,53.36972_-6.15689,136.72210693359375,EA,1.34,NA,27.8151912030447,Observed,12.72,12.72,12.72,NA,NA,NA,Grey et al 2021,38.0,98.0,38,1.0,61.5,NA,61.5,NA,NA,Bull Island,AG Bull Island 38,Soil,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.1664700508117676,0.04913381487131119,81.0,194.0,51.0,25.0,NA,0.24090516567230225,0.08626484125852585,0.09664970636367798,"{""type"":""Point"",""coordinates"":[-6.156890402242235,53.36971858309558]}"
000000000000000009ed,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.7570621371269226,0.1,53.37646_-6.14215,136.72210693359375,EA,0.856,NA,1.33650342796533,Observed,0.5833,0.5833,0.5833,NA,NA,NA,Grey et al 2021,38.0,98.0,39,1.0,3.24,NA,3.24,NA,NA,Bull Island,AG Bull Island 39,Heavy black mud,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.1903396844863892,0.14557141065597534,81.0,194.0,51.0,26.0,NA,0.2279796004295349,0.09586083889007568,-0.14956696331501007,"{""type"":""Point"",""coordinates"":[-6.142148614159544,53.376460743888394]}"
000000000000000009ee,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6791502833366394,0.1,53.3669_-6.1608,136.72210693359375,EA,1.97,NA,24.1175315680046,Observed,15.9467,15.9467,15.9467,NA,NA,NA,Grey et al 2021,38.0,98.0,40,1.0,53.94,NA,53.94,NA,NA,Bull Island,AG Bull Island 40,Soil,Grey et al 2021,3.1297223567962646,NA,NA,0.0,2016,NA,1,estimated from GE,1.2300370931625366,1.5039430856704712,81.0,194.0,51.0,26.0,NA,0.2781713604927063,0.11997095495462418,0.09603255242109299,"{""type"":""Point"",""coordinates"":[-6.16080103386611,53.366900431229816]}"
000000000000000009ef,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6276543140411377,0.1,53.38051_-6.12522,136.72210693359375,EA,0.29,NA,5.83493421494873,Observed,4.17,4.17,4.17,NA,NA,NA,Grey et al 2021,38.0,98.0,41,1.0,13.9,NA,13.9,NA,NA,Bull Island,AG Bull Island 41,Salt marsh mud,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.391608715057373,0.2547076940536499,82.0,193.0,51.0,26.0,NA,0.21442370116710663,0.09242867678403854,0.2661743760108948,"{""type"":""Point"",""coordinates"":[-6.125221866560663,53.380509607644925]}"
000000000000000009f0,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.6290320754051208,0.1,53.37185_-6.1563,136.72210693359375,EA,1.343,NA,6.02824398272579,Observed,6.32,6.32,6.32,NA,NA,NA,Grey et al 2021,38.0,98.0,42,1.0,14.35,NA,14.35,NA,NA,Bull Island,AG Bull Island 42,Soil,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.1662020683288574,1.8206510543823242,81.0,194.0,51.0,25.0,NA,0.2593066096305847,0.07243393361568451,0.09664970636367798,"{""type"":""Point"",""coordinates"":[-6.156301800903181,53.37185003339914]}"
000000000000000009f1,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,https://doi.org/10.1016/j.rsma.2021.101834,Core-level,NA,3.0,SaltMarsh,0-15cm,5,0.5741447806358337,0.1,53.37529_-6.145407,136.72210693359375,EA,0.659,NA,6.21322056734288,Observed,5.37,5.37,5.37,NA,NA,NA,Grey et al 2021,38.0,98.0,43,1.0,14.78,NA,14.78,NA,NA,Bull Island,AG Bull Island 43,Soil with bush vegetation,Grey et al 2021,4.196103096008301,NA,NA,0.0,2016,NA,1,estimated from GE,1.0892632007598877,0.7232582569122314,81.0,194.0,51.0,26.0,NA,0.2075977921485901,0.09056345373392105,-0.14956696331501007,"{""type"":""Point"",""coordinates"":[-6.145408217029613,53.37528800031134]}"
00000000000000000e80,Abu Dhabi,1.141,1.141,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25638_54.23759,54.55931854248047,EA,0.09,NA,2.47626992398345,Observed,1.76,1.76,1.76,NA,NA,NA,Schile et al 2016,170.0,200.0,1,4.0,5.976,NA,5.976,NA,NA,al_aryam,LS al_aryam salt marsh 1,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.7394286394119263,0.8957608938217163,27.0,401.0,0.0,129.0,NA,0.05773509666323662,0.03876912221312523,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23758896202671,24.256381578179056]}"
00000000000000000e81,Abu Dhabi,1.109,1.109,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25621_54.23766,54.55931854248047,EA,0.076,NA,3.20896401679752,Observed,1.77,1.77,1.77,NA,NA,NA,Schile et al 2016,170.0,200.0,2,4.0,7.722,NA,7.722,NA,NA,al_aryam,LS al_aryam salt marsh 2,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.7394286394119263,0.8957608938217163,27.0,401.0,0.0,129.0,NA,0.05773509666323662,0.03876912221312523,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23766030764357,24.256212132339027]}"
00000000000000000e82,Abu Dhabi,1.292,1.292,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25604_54.23771,54.55931854248047,EA,0.079,NA,3.69171367499083,Observed,2.81,2.81,2.81,NA,NA,NA,Schile et al 2016,170.0,200.0,3,4.0,8.867,NA,8.867,NA,NA,al_aryam,LS al_aryam salt marsh 3,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.7249011397361755,0.7399460077285767,27.0,401.0,0.0,129.0,NA,0.09124016016721725,0.01922156661748886,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23770935775514,24.256042686498997]}"
00000000000000000e83,Abu Dhabi,1.162,1.162,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25585_54.23774,54.55931854248047,EA,0.078,NA,1.8584603710867,Observed,0.88,0.88,0.88,NA,NA,NA,Schile et al 2016,170.0,200.0,4,4.0,4.496,NA,4.496,NA,NA,al_aryam,LS al_aryam salt marsh 4,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.8016088604927063,0.9073837399482727,27.0,401.0,0.0,129.0,NA,0.07375333458185196,0.020812872797250748,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23774057146253,24.255850945153696]}"
00000000000000000e84,Abu Dhabi,1.136,1.136,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25569_54.2378,54.55931854248047,EA,0.097,NA,2.61359478093419,Observed,1.23,1.23,1.23,NA,NA,NA,Schile et al 2016,170.0,200.0,5,4.0,6.304,NA,6.304,NA,NA,al_aryam,LS al_aryam salt marsh 5,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.8016088604927063,0.9073837399482727,27.0,401.0,0.0,129.0,NA,0.07375333458185196,0.020812872797250748,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23779853977623,24.25569041751577]}"
00000000000000000e85,Abu Dhabi,1.135,1.135,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,5.0,salt marsh,0-15cm,7.5,0.30091744661331177,0.15,24.25553_54.23785,54.55931854248047,EA,0.092,NA,2.73513241774157,Observed,1.42,1.42,1.42,NA,NA,NA,Schile et al 2016,170.0,200.0,6,4.0,6.594,NA,6.594,NA,NA,al_aryam,LS al_aryam salt marsh 6,NA,Schile et al 2016,30.06676483154297,NA,NA,0.0,2013,NA,1,direct from dataset,0.8777241706848145,1.2105019092559814,27.0,401.0,0.0,129.0,NA,0.05921356379985809,0.023370694369077682,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.23785204898886,24.255529889877852]}"
00000000000000000e86,Abu Dhabi,1.098,1.098,NA,NA,NA,NA,NA,United Arab Emirates,https://doi.org/10.15146/R3K59Z,Core-level,NA,3.0,salt marsh,0-15cm,7.5,0.48020389676094055,0.15,24.45533_54.43389,48.671512603759766,EA,0.11,NA,2.01054769250413,Observed,1.37,1.37,1.37,NA,NA,NA,Schile et al 2016,169.0,199.0,1,4.0,4.861,NA,4.861,NA,NA,eastern_mangrove,LS eastern_mangrove salt marsh 1,NA,Schile et al 2016,17.24772834777832,NA,NA,0.0,2013,NA,1,direct from dataset,1.39687979221344,1.1031864881515503,29.0,400.0,0.0,128.0,NA,0.20173011720180511,0.051061760634183884,1.2033965587615967,"{""type"":""Point"",""coordinates"":[54.433891967702564,24.455328830779596]}"
